co2,co2_per_capita,oil_co2,oil_co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,cumulative_oil_co2,share_global_co2,share_global_oil_co2,share_global_cumulative_co2,share_global_cumulative_oil_co2,population
5.164,0.408,2.29,0.181,1.98,0.1,125.891,65.157,0.02,0.02,0.01,0.02,12657361.0
5.748,0.44,2.968,0.227,11.31,0.584,131.64,68.125,0.03,0.03,0.02,0.02,13075044.0
3.865,0.286,1.297,0.096,-32.77,-1.884,135.504,69.422,0.02,0.01,0.02,0.02,13503753.0
10.949,0.785,8.416,0.604,183.32,7.084,146.453,77.838,0.05,0.09,0.02,0.02,13945205.0
10.424,0.724,7.039,0.489,-4.79,-0.525,156.877,84.877,0.04,0.07,0.02,0.03,14400722.0
7.348,0.494,3.331,0.224,-29.51,-3.076,164.225,88.208,0.03,0.03,0.02,0.03,14871572.0
7.268,0.473,2.763,0.18,-1.08,-0.079,171.493,90.97,0.03,0.03,0.02,0.03,15359600.0
9.13,0.575,3.708,0.234,25.62,1.862,180.624,94.678,0.04,0.04,0.02,0.03,15866871.0
9.516,0.58,3.668,0.224,4.23,0.386,190.14,98.346,0.04,0.04,0.02,0.03,16395476.0
9.671,0.571,4.302,0.254,1.63,0.155,199.811,102.647,0.04,0.04,0.02,0.03,16945753.0
12.598,0.719,5.02,0.286,30.27,2.927,212.409,107.667,0.05,0.05,0.02,0.03,17519418.0
8.989,0.496,6.837,0.377,-28.65,-3.609,221.398,114.504,0.03,0.06,0.02,0.03,18121477.0
18.701,0.997,5.034,0.268,108.04,9.712,240.098,119.538,0.07,0.05,0.02,0.03,18758138.0
19.006,0.978,4.734,0.244,1.63,0.305,259.104,124.272,0.06,0.04,0.02,0.03,19433604.0
22.102,1.097,7.757,0.385,16.29,3.096,281.206,132.029,0.07,0.07,0.02,0.03,20149905.0
24.977,1.195,8.801,0.421,13.01,2.876,306.183,140.83,0.08,0.08,0.02,0.03,20905360.0
25.486,1.175,10.219,0.471,2.04,0.509,331.669,151.049,0.08,0.09,0.03,0.03,21695636.0
27.565,1.224,12.296,0.546,8.16,2.079,359.234,163.345,0.09,0.11,0.03,0.04,22514275.0
28.865,1.236,13.37,0.572,4.71,1.3,388.099,176.715,0.09,0.12,0.03,0.04,23356247.0
30.33,1.252,14.345,0.592,5.08,1.465,418.429,191.06,0.09,0.13,0.03,0.04,24220660.0
33.801,1.346,17.268,0.688,11.44,3.471,452.229,208.328,0.1,0.15,0.03,0.04,25107925.0
33.229,1.277,17.441,0.67,-1.69,-0.572,485.458,225.769,0.09,0.15,0.03,0.04,26015786.0
33.296,1.236,17.289,0.642,0.2,0.068,518.754,243.057,0.09,0.15,0.04,0.05,26941773.0
